id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4568116,Brownstone Cozy Private Studio by the T & LMA,11228809,Jonathan,,Roxbury,42.32967,-71.09328,Entire home/apt,67,2,613,2022-12-18,6.22,5,29,90,STR-443395
4573238,Chic furnished 2 bds- best Boston location N. End Boston,5578043,Dror,,North End,42.364253,-71.052626,Entire home/apt,149,31,159,2022-09-28,1.63,4,353,2,
4580825,Amazing price and location / parking -North End (M1S),5578043,Dror,,North End,42.3633,-71.05237,Entire home/apt,182,2,191,2022-12-05,2.03,4,344,41,STR-406255
4583526,Lovely private 4 bedroom apt,23759488,Tricia,,Jamaica Plain,42.3043,-71.11465,Entire home/apt,211,2,232,2021-11-23,2.42,1,15,0,STR-410540
4593974,Parking EZ 2 Downtown/Longwood Larg,18517776,Huggy,,Roxbury,42.31676,-71.08,Private room,36,150,7,2018-02-15,0.08,31,365,0,
4593985,Parking Renovated Close to Downtown,18517776,Huggy,,Roxbury,42.31676,-71.08,Private room,36,150,1,2015-06-20,0.01,31,365,0,
4602191,2 Bd/Bth Apt in Prime Location Gorgeous Water View,20079643,Alex @ Bcohousing,,West End,42.36452,-71.06928,Entire home/apt,285,75,18,2021-06-04,0.24,12,265,0,Exempt: This listing is a unit used for furnished institutional or business stays
4614037,Boston RooftopTerrace/ 2 Bed / By Logan airport,9073339,Elisangela,,East Boston,42.378693,-71.035088,Entire home/apt,194,1,299,2022-12-11,3.23,3,344,64,STR-398048
4623114,South End Studio Perfect for Work Travel #46,22348222,Maverick,,South End,42.34441,-71.07633,Entire home/apt,85,1,132,2022-12-03,1.48,54,362,14,STR-441249
4624582,Parking Easy to downtown/Longwood,18517776,Huggy,,Roxbury,42.31676,-71.08,Private room,35,150,4,2016-10-31,0.04,31,365,0,
4625517,GreenT&bus stops in front of door,7046340,Chun Kei,,Mission Hill,42.33245,-71.10642,Private room,100,91,0,,,1,0,0,
4630071,Charming studio,12165186,Masha,,Brighton,42.34341,-71.15451,Entire home/apt,49,91,16,2022-08-14,0.23,2,182,1,
4662379,Historic House modernized,24124767,Matt,,Brighton,42.34765,-71.15509,Entire home/apt,321,3,156,2022-12-03,1.59,1,263,24,STR-416233
4699828,Charming Victorian Furnished Home,19466495,Barbara,,Hyde Park,42.2563,-71.12762,Entire home/apt,244,3,111,2022-11-28,1.19,1,243,6,Exempt: This listing is a unit used for furnished institutional or business stays
4710583,Cozy Attic Bedroom in Allston,17892292,Marlene,,Allston,42.35914,-71.13348,Private room,41,91,3,2018-06-19,0.03,5,0,0,
4737304,Cosy Celtic Retreat,24158689,Deborah,,Brighton,42.35111,-71.16529,Private room,75,91,25,2020-05-04,0.27,1,353,0,
4755586,One Sweet Place,24532370,Andrea,,Mattapan,42.27667,-71.08169,Private room,25,29,22,2022-10-23,0.38,2,184,2,STR-416068
4757808,Romantic Beacon Hill Studio,3085882,Nino,,Beacon Hill,42.35815,-71.07102,Entire home/apt,110,91,5,2015-10-25,0.06,1,0,0,
4765070,Studio w/ private entrance and bathroom,24584716,Katty,,Jamaica Plain,42.32352,-71.10688,Entire home/apt,98,3,373,2022-11-27,3.84,1,135,18,str-416042
4863108,Ensuite Private Room in Boston,8157833,John,,South Boston,42.33717,-71.05,Private room,91,4,281,2022-12-05,2.91,1,136,40,STR-413500
4909590,"ALLSTON LOADED STUDIO: Steps to BU, BC & hospitals",25279966,Vj,,Allston,42.34838,-71.13163,Entire home/apt,79,240,345,2022-08-30,3.55,2,197,5,STR-415702
5019306,Sunny Duplex Condo + Private Parking,15862012,Vicki,,South Boston,42.33257,-71.02959,Entire home/apt,355,3,176,2022-11-29,1.86,1,333,28,STR-397970
5048406,3rd floor room in Victorian House,26062958,Yvonne,,Dorchester,42.31124,-71.06551,Private room,85,2,39,2022-06-27,0.41,2,354,5,STR-415034
5049582,Quiet room - Great location!,197327,Melissa,,Jamaica Plain,42.31327,-71.10811,Private room,60,30,29,2022-12-04,0.31,2,346,4,STR-416301
5054601,Large room with view on Downtown,26098645,Manuela,,South Boston,42.33034,-71.05802,Private room,61,5,165,2022-11-20,1.74,4,203,14,STR-413140
5088560,Stunning SouthEnd/BackBay Penthouse,21609039,Susan,,Roxbury,42.34041,-71.08384,Entire home/apt,500,29,100,2020-12-27,1.12,3,282,0,Exempt: This listing is a unit used for furnished institutional or business stays
5166870,2 Bdrm Apt w/ tower in JP Victorian,1487352,Matt And Eva,,Jamaica Plain,42.30542,-71.10409,Entire home/apt,190,2,339,2022-12-04,3.54,1,275,65,STR-401736
5203538,Beautiful Townhouse Boston's South End,26917979,Jim,,South End,42.34024,-71.07483,Entire home/apt,900,5,13,2022-10-25,0.14,1,264,9,STR-470244
